"WHO Reference Number","INN, Dosage Form and Strength","Product Type","Therapeutic Area",Applicant,"Dosage Form","Basis of Listing","Basis of alternative listing","Date of Prequalification"
"ANDA 077267 USFDA","Zidovudine Tablet 300mg","Finished Pharmaceutical Product",HIV/AIDS,"Aurobindo Pharma Ltd",Tablet,"Alternative Listing","USFDA - PEPFAR",
"ANDA 077268 USFDA","Zidovudine Solution, Oral 10mg/ml","Finished Pharmaceutical Product",HIV/AIDS,"Aurobindo Pharma Ltd","Solution, Oral","Alternative Listing","USFDA - PEPFAR",
"ANDA 077464a USFDA","Lamivudine Tablet 150mg","Finished Pharmaceutical Product",HIV/AIDS,"Aurobindo Pharma Ltd",Tablet,"Alternative Listing","USFDA - PEPFAR",
"ANDA 077464b USFDA","Lamivudine Tablet 300mg","Finished Pharmaceutical Product",HIV/AIDS,"Aurobindo Pharma Ltd",Tablet,"Alternative Listing","USFDA - PEPFAR",
"ANDA 077521 USFDA","Nevirapine Tablet 200mg","Finished Pharmaceutical Product",HIV/AIDS,"Aurobindo Pharma Ltd",Tablet,"Alternative Listing","USFDA - PEPFAR",
"ANDA 077558 USFDA","Lamivudine/Zidovudine Tablet 150mg/300mg","Finished Pharmaceutical Product",HIV/AIDS,"Aurobindo Pharma Ltd",Tablet,"Alternative Listing","USFDA - PEPFAR",
"ANDA 077673 USFDA","Efavirenz Tablet 600mg","Finished Pharmaceutical Product",HIV/AIDS,"Aurobindo Pharma Ltd",Tablet,"Alternative Listing","USFDA - PEPFAR",
"ANDA 077695 USFDA","Lamivudine Solution, Oral 10mg/ml","Finished Pharmaceutical Product",HIV/AIDS,"Aurobindo Pharma Ltd","Solution, Oral","Alternative Listing","USFDA - PEPFAR",
"ANDA 077702 USFDA","Nevirapine Suspension, Oral 50mg/5ml","Finished Pharmaceutical Product",HIV/AIDS,"Aurobindo Pharma Ltd","Suspension, Oral","Alternative Listing","USFDA - PEPFAR",
"ANDA 077844 USFDA","Abacavir (sulfate) Tablet 300mg","Finished Pharmaceutical Product",HIV/AIDS,"Aurobindo Pharma Ltd",Tablet,"Alternative Listing","USFDA - PEPFAR",
"ANDA 077950 USFDA","Abacavir (sulfate) Solution, Oral 20mg/ml","Finished Pharmaceutical Product",HIV/AIDS,"Aurobindo Pharma Ltd","Solution, Oral","Alternative Listing","USFDA - PEPFAR",
"ANDA 078064a USFDA","Efavirenz Capsules, hard 50mg","Finished Pharmaceutical Product",HIV/AIDS,"Aurobindo Pharma Ltd","Capsules, hard","Alternative Listing","USFDA - PEPFAR",
"ANDA 078064b USFDA","Efavirenz Capsules, hard 200mg","Finished Pharmaceutical Product",HIV/AIDS,"Aurobindo Pharma Ltd","Capsules, hard","Alternative Listing","USFDA - PEPFAR",
"ANDA 078064c USFDA","Efavirenz Capsules, hard 100mg","Finished Pharmaceutical Product",HIV/AIDS,"Aurobindo Pharma Ltd","Capsules, hard","Alternative Listing","USFDA - PEPFAR",
"ANDA 078128 USFDA","Zidovudine Capsules, hard 100mg","Finished Pharmaceutical Product",HIV/AIDS,"Aurobindo Pharma Ltd","Capsules, hard","Alternative Listing","USFDA - PEPFAR",
"ANDA 078545 USFDA","Lamivudine Tablet 300mg","Finished Pharmaceutical Product",HIV/AIDS,"Mylan Laboratories Ltd.",Tablet,"Alternative Listing","USFDA - PEPFAR",
"ANDA 078644 USFDA","Nevirapine Tablet 200mg","Finished Pharmaceutical Product",HIV/AIDS,"Zhejiang Huahai Pharmaceutical Co. Ltd.",Tablet,"Alternative Listing","USFDA - PEPFAR",
"ANDA 078742 USFDA","Abacavir (sulfate) Tablet 300mg","Finished Pharmaceutical Product",HIV/AIDS,"Mylan Laboratories Ltd.",Tablet,"Alternative Listing","USFDA - PEPFAR",
"ANDA 078922 USFDA","Zidovudine Tablet 300mg","Finished Pharmaceutical Product",HIV/AIDS,"Mylan Laboratories Ltd.",Tablet,"Alternative Listing","USFDA - PEPFAR",
"ANDA 079124 USFDA","Lamivudine/Zidovudine Tablet 150mg/300mg","Finished Pharmaceutical Product",HIV/AIDS,"Hetero Labs Ltd",Tablet,"Alternative Listing","USFDA - PEPFAR",
"ANDA 079188 USFDA","Emtricitabine Capsules, hard 200mg","Finished Pharmaceutical Product",HIV/AIDS,"Aurobindo Pharma Ltd","Capsules, hard","Alternative Listing","USFDA - PEPFAR",
"ANDA 090198 USFDA","Lamivudine Tablet, Film-coated 150mg","Finished Pharmaceutical Product",HIV/AIDS,"Macleods Pharmaceuticals Ltd","Tablet, Film-coated","Alternative Listing","USFDA - PEPFAR",
"ANDA 090198b USFDA","Lamivudine Tablet, Film-coated 300mg","Finished Pharmaceutical Product",HIV/AIDS,"Macleods Pharmaceuticals Ltd","Tablet, Film-coated","Alternative Listing","USFDA - PEPFAR",
"ANDA 090309 USFDA","Abacavir (sulfate)/Lamivudine/Zidovudine Tablet 300mg/150mg/300mg","Finished Pharmaceutical Product",HIV/AIDS,"Mylan Laboratories Ltd.",Tablet,"Alternative Listing","USFDA - PEPFAR",
"ANDA 090457 USFDA","Lamivudine Tablet 300mg","Finished Pharmaceutical Product",HIV/AIDS,"Strides Pharma Science Limited",Tablet,"Alternative Listing","USFDA - PEPFAR",
"ANDA 090471a USFDA","Lopinavir/Ritonavir Tablet 100mg/25mg","Finished Pharmaceutical Product",HIV/AIDS,"Aurobindo Pharma Ltd",Tablet,"Alternative Listing","USFDA - PEPFAR",
"ANDA 090471b USFDA","Lopinavir/Ritonavir Tablet 200mg/50mg","Finished Pharmaceutical Product",HIV/AIDS,"Aurobindo Pharma Ltd",Tablet,"Alternative Listing","USFDA - PEPFAR",
"ANDA 090513 USFDA","Emtricitabine/Tenofovir disoproxil fumarate Tablet 200mg/300mg","Finished Pharmaceutical Product",HIV/AIDS,"Aurobindo Pharma Ltd",Tablet,"Alternative Listing","USFDA - PEPFAR",
"ANDA 090647 USFDA","Tenofovir disoproxil fumarate Tablet 300mg","Finished Pharmaceutical Product",HIV/AIDS,"Aurobindo Pharma Ltd",Tablet,"Alternative Listing","USFDA - PEPFAR",
"ANDA 090679 USFDA","Lamivudine/Zidovudine Tablet, Film-coated 150mg/300mg","Finished Pharmaceutical Product",HIV/AIDS,"Macleods Pharmaceuticals Ltd","Tablet, Film-coated","Alternative Listing","USFDA - PEPFAR",
"ANDA 090688 USFDA","Nevirapine Tablet 200mg","Finished Pharmaceutical Product",HIV/AIDS,"Macleods Pharmaceuticals Ltd",Tablet,"Alternative Listing","USFDA - PEPFAR",
"ANDA 091144 USFDA","Abacavir (sulfate)/Lamivudine Tablet 600mg/300mg","Finished Pharmaceutical Product",HIV/AIDS,"Cipla Ltd",Tablet,"Alternative Listing","USFDA - PEPFAR",
"ANDA 091475 USFDA","Lamivudine Solution, Oral 10mg/ml","Finished Pharmaceutical Product",HIV/AIDS,"Hetero Labs Ltd","Solution, Oral","Alternative Listing","USFDA - PEPFAR",
"ANDA 091579 USFDA","Efavirenz Tablet, Film-coated 600mg","Finished Pharmaceutical Product",HIV/AIDS,"Macleods Pharmaceuticals Ltd","Tablet, Film-coated","Alternative Listing","USFDA - PEPFAR",
"ANDA 091611a USFDA","Atazanavir (sulfate) Capsules, hard 150mg","Finished Pharmaceutical Product",HIV/AIDS,"Mylan Laboratories Ltd.","Capsules, hard","Alternative Listing","USFDA - PEPFAR",
"ANDA 091611b USFDA","Atazanavir (sulfate) Capsules, hard 300mg","Finished Pharmaceutical Product",HIV/AIDS,"Mylan Laboratories Ltd.","Capsules, hard","Alternative Listing","USFDA - PEPFAR",
"ANDA 091677 USFDA","Lopinavir/Ritonavir Tablet 100mg/25mg","Finished Pharmaceutical Product",HIV/AIDS,"Hetero Labs Ltd",Tablet,"Alternative Listing","USFDA - PEPFAR",
"ANDA 203041 USFDA","Efavirenz/Emtricitabine/Tenofovir disoproxil fumarate Tablet 600mg/200mg/300mg","Finished Pharmaceutical Product",HIV/AIDS,"Aurobindo Pharma Ltd",Tablet,"Alternative Listing","USFDA - PEPFAR",
"ANDA 203232 USFDA","Tenofovir disoproxil fumarate Tablet, Film-coated 300mg","Finished Pharmaceutical Product",HIV/AIDS,"Macleods Pharmaceuticals Ltd","Tablet, Film-coated","Alternative Listing","USFDA - PEPFAR",
"ANDA 203442 USFDA","Emtricitabine/Tenofovir disoproxil fumarate Tablet, Film-coated 200mg/300mg","Finished Pharmaceutical Product",HIV/AIDS,"Macleods Pharmaceuticals Ltd","Tablet, Film-coated","Alternative Listing","USFDA - PEPFAR",
"ANDA 203759 USFDA","Ritonavir Tablet 100mg","Finished Pharmaceutical Product",HIV/AIDS,"Cipla Ltd",Tablet,"Alternative Listing","USFDA - PEPFAR",
"ANDA 204739a USFDA","Lopinavir/Ritonavir Tablet, Film-coated 100mg/25mg","Finished Pharmaceutical Product",HIV/AIDS,"Macleods Pharmaceuticals Ltd","Tablet, Film-coated","Alternative Listing","USFDA - PEPFAR",
"ANDA 204739b USFDA","Lopinavir/Ritonavir Tablet, Film-coated 200mg/50mg","Finished Pharmaceutical Product",HIV/AIDS,"Macleods Pharmaceuticals Ltd","Tablet, Film-coated","Alternative Listing","USFDA - PEPFAR",
"ANDA 205412 USFDA","Abacavir (sulfate)/Lamivudine Tablet 600mg/300mg","Finished Pharmaceutical Product",HIV/AIDS,"Hetero Labs Ltd",Tablet,"Alternative Listing","USFDA - PEPFAR",
"ANDA 208355 USFDA","Dolutegravir (sodium) Tablet 50mg","Finished Pharmaceutical Product",HIV/AIDS,"Aurobindo Pharma Ltd",Tablet,"Alternative Listing","USFDA - PEPFAR",
"ANDA 210036 USFDA","Dolutegravir Tablet 50mg","Finished Pharmaceutical Product",HIV/AIDS,"Emcure Pharmaceuticals Limited",Tablet,,"USFDA - PEPFAR",
"ANDA 210642 USFDA","Abacavir (sulfate)/Dolutegravir (sodium)/Lamivudine Tablet, Film-coated 600mg/50mg/300mg","Finished Pharmaceutical Product",HIV/AIDS,"Aurobindo Pharma Ltd","Tablet, Film-coated",,"USFDA - PEPFAR",
"ANDA 210963 USFDA","Dolutegravir (sodium) Tablet, Film-coated 50mg","Finished Pharmaceutical Product",HIV/AIDS,"Laurus Labs Limited","Tablet, Film-coated","Alternative Listing","USFDA - PEPFAR",
"ANDA 211148 USFDA","Emtricitabine/Tenofovir alafenamide Tablet 200mg/25mg","Finished Pharmaceutical Product",HIV/AIDS,"Mylan Laboratories Ltd.",Tablet,,"USFDA - PEPFAR",
"ANDA 212181 USFDA","Abacavir (Sulfate), Dolutegravir (Sodium), and Lamivudine Tablets","Finished Pharmaceutical Product",HIV/AIDS,"Emcure Pharmaceuticals Limited",Tablet,,"USFDA - PEPFAR",
"ANDA 212579a USFDA","Atazanavir (sulfate) Capsules, hard 150mg","Finished Pharmaceutical Product",HIV/AIDS,"Laurus Labs Limited","Capsules, hard","Alternative Listing","USFDA - PEPFAR",
"ANDA 212579b USFDA","Atazanavir (sulfate) Capsules, hard 200mg","Finished Pharmaceutical Product",HIV/AIDS,"Laurus Labs Limited","Capsules, hard","Alternative Listing","USFDA - PEPFAR",
"ANDA 212579c USFDA","Atazanavir (sulfate) Capsules, hard 300mg","Finished Pharmaceutical Product",HIV/AIDS,"Laurus Labs Limited","Capsules, hard","Alternative Listing","USFDA - PEPFAR",
"ANDA 213541 USFDA","Efavirenz/Emtricitabine/Tenofovir disoproxil fumarate Tablet, Film-coated 600mg/200mg/300mg","Finished Pharmaceutical Product",HIV/AIDS,"Laurus Labs Limited","Tablet, Film-coated","Alternative Listing","USFDA - PEPFAR",
"ANDA 214397 USFDA","Dolutegravir (sodium) Tablet, Film-coated 50mg","Finished Pharmaceutical Product",HIV/AIDS,"Macleods Pharmaceuticals Ltd","Tablet, Film-coated","Alternative Listing","USFDA - PEPFAR",
"ANDA 216875 USFDA","Emtricitabine/Tenofovir alafenamide Tablet, Film-coated 200mg/25mg","Finished Pharmaceutical Product",HIV/AIDS,"Aurobindo Pharma Ltd","Tablet, Film-coated",,"USFDA - PEPFAR",
"ANDA 217830 USFDA","Abacavir, Dolutegravir and Lamivudine Tablets for Oral Suspension 60 mg/5 mg/30 mg,","Finished Pharmaceutical Product",HIV/AIDS,"Macleods Pharmaceuticals Ltd","Tablets for Oral Suspension",,"USFDA - PEPFAR",
"ANDA 219623 USFDA","Dolutegravir (sodium)/Lamivudine null 50mg/300mg","Finished Pharmaceutical Product",HIV/AIDS,"Emcure Pharmaceuticals Limited",,,"USFDA - PEPFAR",
"ANDA 21988 USFDA","Lamivudine/Zidovudine Tablet + Nevirapine Tablet 150mg/300mg + 200mg","Finished Pharmaceutical Product",HIV/AIDS,"Strides Pharma Science Limited","Tablet + Tablet","Alternative Listing","USFDA - PEPFAR",
"ANDA 90159 USFDA","Abacavir (sulfate)/Lamivudine Tablet, Film-coated 600mg/300mg","Finished Pharmaceutical Product",HIV/AIDS,"Aurobindo Pharma Ltd","Tablet, Film-coated","Alternative Listing","USFDA - PEPFAR",
